"Name","Url","StatusCode","Success","DurationMs","BodyExcerpt","CapturedAt"
"home","https://petclinic-container-app.victorioussand-ef83e08c.centralus.azurecontainerapps.io/","200","True","713","<!DOCTYPE html> <html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"" /> <meta charset=""utf-8""> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> <me","2026-05-22T14:31:41+08:00"
"health","https://petclinic-container-app.victorioussand-ef83e08c.centralus.azurecontainerapps.io/actuator/health","200","True","994","{""groups"":[""liveness"",""readiness""],""status"":""UP""}","2026-05-22T14:31:43+08:00"
"owners","https://petclinic-container-app.victorioussand-ef83e08c.centralus.azurecontainerapps.io/owners/find","200","True","935","<!DOCTYPE html> <html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"" /> <meta charset=""utf-8""> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> <me","2026-05-22T14:31:44+08:00"
